PropertyType,District,Mukim,SchemeName,TransactionDate,Tenure,ParcelArea,Unit,UnitLevel,TransactionPrice,PropertyType(strata),Sector,State
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,FERNLEA COURT,Aug-22,Freehold,169,sq.m,1,1060000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,SRI MURNI CONDO,Aug-22,Freehold,279,sq.m,1,1530000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,GEMILANG INDAH,Aug-22,Freehold,84,sq.m,1,300000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,DAMAI SURIA,Sep-22,Freehold,374,sq.m,1,2800000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,BANGSAR HEIGHTS,Sep-22,Freehold,84,sq.m,1,650000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,DESA KUDALARI,Sep-22,Freehold,77,sq.m,1,1000000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,SRI MUTIARA CONDO,Oct-22,Freehold,104,sq.m,1,345000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,KONDOMINIUM NOBLETON CREST,Oct-22,Freehold,326,sq.m,1,4050000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,MENARA WARISAN,Oct-22,Freehold,111,sq.m,1,350000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,SRI MURNI CONDO,Oct-22,Freehold,171,sq.m,1,1200000,Strata,Residential,WP Kuala Lumpur
Condominium/Apartment,Kuala Lumpur,Kuala Lumpur Town Centre,THE CAPERS @ SENTUL EAST,Nov-22,Freehold,178.85,sq.m,1,1360000,Strata,Residential,WP Kuala Lumpur
